post_id,text,creator,expected_label,predicted_label,scam_probability,explanation,method,confidence,url
3lhsrm3fxv22n,"• getgrass.io earn crypto with your internet connection 🤩

• Generate passive income simply by selling a resource that you own but don't use to the full.

• Join and start earning ➡️  app.getgrass.io/register/?re...

#GetGrass #Grass #Airdrops #Crypto #DePIN #PassiveIncome #Rewards #Web3 #earnmoney",cryptovicr.bsky.social,scam,not_scam,0.0,Matched patterns: hashtags: #(?:earnmoneyonline|earnfromhome|quickcash|easymoney|fastcash|getpaid|paidinstantly|passiveincome|reviewandearn|likeandgetpaid|payperlike|clicktask|paysurvey|dmforinfo|linkinbio|telegramlink|whatsappme|100aday|500aweek|5kmonth)\b,regex_patterns,85,https://bsky.app/profile/cryptovicr.bsky.social/post/3lhsrm3fxv22n
3lk7nvhszz22e,"TopSurveys is a new survey site where you won't get disqualified! Earn cash and gift cards for your opinions, with instant payouts. $$$

www.surveypolice.com/topsurveys

#paidsurveys #makemoneyonline #surveysites #surveysthatpay #surveysforcash #surveysformoney #earnonline #earnmoney #makemoney",surveypolice.bsky.social,not_scam,scam,0.7,Contains suspicious earnings claims. Matched patterns: no_barrier: instant payout,regex_patterns,80,https://bsky.app/profile/surveypolice.bsky.social/post/3lk7nvhszz22e
3lk4jk743fk2t,"Turn Live Events Into Cash 💰
I made money off #ChampionsTrophy2025 without even leaving my couch.
Yes, while watching the game. 📱🏆
Want to know how? Steal my playbook here:
🔗 shorturl.at/8lCl6 #makemoneyonline #makemoneyblogging #sidehustle #earnmoney",kickengage.bsky.social,scam,not_scam,0.0,No suspicious patterns detected,regex_patterns,90,https://bsky.app/profile/kickengage.bsky.social/post/3lk4jk743fk2t
3ljzxx275uk2x,"💰 Get $750 to Your Cash Account! 💰

Shop, play, and earn rewards effortlessly! 🎉 Complete simple tasks and claim $750 in your cash account today!
Start now 👉 flavorfusionrecipes.recipes/get-750-to-y...
#EarnMoney #CashRewards #ShopAndPlay #GetPaid",flavorfusionrecipe.bsky.social,scam,not_scam,0.0,Matched patterns: hashtags: #(?:earnmoneyonline|earnfromhome|quickcash|easymoney|fastcash|getpaid|paidinstantly|passiveincome|reviewandearn|likeandgetpaid|payperlike|clicktask|paysurvey|dmforinfo|linkinbio|telegramlink|whatsappme|100aday|500aweek|5kmonth)\b,regex_patterns,95,https://bsky.app/profile/flavorfusionrecipe.bsky.social/post/3ljzxx275uk2x
3lmmawhkv7k2z,"traffmonetizer.com?aff=1964
bytelixir.com/r/JSJWQVX9SNP3
earn.fm/ref/XPUG02OG
link.repocket.com/UrS1
pawns.app?r=xpugur

 #income #earn #earning #passiveincomeideas #PassiveEarnings #passiveincomeonline #PassiveIncomeOpportunity #earnonline #earnmoney #online #onlineearning #onlineearningapp",xpugur.bsky.social,scam,not_scam,0.0,No suspicious patterns detected,regex_patterns,85,https://bsky.app/profile/xpugur.bsky.social/post/3lmmawhkv7k2z
3lmm7gmtekk2z,"linktr.ee/xpugur
traffmonetizer.com?aff=1964
bytelixir.com/r/JSJWQVX9SNP3
link.repocket.com/UrS1
www.packetshare.io?code=D5653A2...
earnapp.com/i/cs2dmec

#passiveincome #passiveincome  #income #earn #earning #passiveincomeideas #PassiveEarnings #earnonline #earnmoney #online #onlineearning",xpugur.bsky.social,scam,not_scam,0.0,Matched patterns: hashtags: #(?:earnmoneyonline|earnfromhome|quickcash|easymoney|fastcash|getpaid|paidinstantly|passiveincome|reviewandearn|likeandgetpaid|payperlike|clicktask|paysurvey|dmforinfo|linkinbio|telegramlink|whatsappme|100aday|500aweek|5kmonth)\b,regex_patterns,85,https://bsky.app/profile/xpugur.bsky.social/post/3lmm7gmtekk2z
3lm2tqdaf5c2l,"What if I told you you could earn 7 streams of income with NO inventory and no hassles...

#AffiliateMarketing #PassiveIncome #WorkFromHome #OnlineBusiness #EarnMoney #SideHustle #FinancialFreedom #MakeMoneyOnline #AffiliateIncome",earningmoneyonline.bsky.social,scam,not_scam,0.0,Matched patterns: hashtags: #(?:earnmoneyonline|earnfromhome|quickcash|easymoney|fastcash|getpaid|paidinstantly|passiveincome|reviewandearn|likeandgetpaid|payperlike|clicktask|paysurvey|dmforinfo|linkinbio|telegramlink|whatsappme|100aday|500aweek|5kmonth)\b,regex_patterns,90,https://bsky.app/profile/earningmoneyonline.bsky.social/post/3lm2tqdaf5c2l
3llsplhtnh22o,"The ""Billionaire Brain Wave"" refers to a concept or program that uses specific audio frequencies, particularly theta waves, to influence brain activity, potentially attract wealth, improve relationships, and enhance cognitive function.
thebillionairewavee.com ,

#howtomakemoney #earning #earnmoney",janniferrlouis.bsky.social,scam,not_scam,0.0,No suspicious patterns detected,regex_patterns,85,https://bsky.app/profile/janniferrlouis.bsky.social/post/3llsplhtnh22o
3lh2fhk257k2x,"WriteAppReviews.com: Get Paid to Review Apps on Your Phone – Earn Money Easily!
Turn your love for apps into cash with WriteAppReviews.com! This innovative platform lets you get paid for reviewing your favorite apps right from your phone
WriteAppReviews #GetPaidToReview #EarnMoney

da.gd/DDakEO",e-business.bsky.social,scam,not_scam,0.0,No suspicious patterns detected,regex_patterns,85,https://bsky.app/profile/e-business.bsky.social/post/3lh2fhk257k2x
3lfq7pmkih42s,"Normalize learning a high income skills like trading 

You will earn life changing money in few months ..

START NOW!!

#earnmoney #binarytrade #forextrader #earnmoneyonline #workonline #southcarolina #millionairemindset #crytocurrency #winner #goals #india #forextrading #france #Binance",graciegilber.bsky.social,scam,not_scam,0.0,Matched patterns: hashtags: #(?:earnmoneyonline|earnfromhome|quickcash|easymoney|fastcash|getpaid|paidinstantly|passiveincome|reviewandearn|likeandgetpaid|payperlike|clicktask|paysurvey|dmforinfo|linkinbio|telegramlink|whatsappme|100aday|500aweek|5kmonth)\b,regex_patterns,85,https://bsky.app/profile/graciegilber.bsky.social/post/3lfq7pmkih42s
